column 1,"Gene products (complexes, polypeptides, and RNAs)",GO terms (biological process),Pathways of gene,Binding sites upstream of gene
dnaK,chaperone protein DnaK,protein refolding // protein-containing complex assembly // negative regulation of DNA-templated transcription // DNA replication // stress response to copper ion // protein folding // chaperone cofactor-dependent protein refolding // cellular response to unfolded protein // protein unfolding // response to heat,,
yohC,putative inner membrane protein,DNA damage response,,
nanY,"KpLE2 phage-like element; 2,7-anhydro-<i>N</i>-acetylneuraminate hydratase",DNA damage response // N-acetylneuraminate catabolic process,,NanR DNA-binding-site 376.5 bases upstream of yjhBp2 // NanR DNA-binding-site 384.5 bases upstream of yjhBp2 // NanR DNA-binding-site 393.5 bases upstream of yjhBp2
ynfD,DUF1161 domain-containing protein YnfD,,,
wbbH,putative O-antigen polymerase,lipopolysaccharide biosynthetic process,,
puuB,&gamma;-glutamylputrescine oxidase,putrescine catabolic process,"superpathway of L-arginine and L-ornithine degradation // superpathway of ornithine degradation // superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // putrescine degradation II",CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases downstream of puuDp // PuuR DNA-binding-site 161.5 bases upstream of puuAp // PuuR DNA-binding-site 126.5 bases upstream of puuAp // PuuR DNA-binding-site 84.5 bases upstream of puuAp // PuuR DNA-binding-site 11.5 bases downstream of puuAp // ArcA-Pasp54 DNA-binding-site 82 bases downstream of puuDp // PtrR-gln DNA-binding-site regulating puuCp
fhuA,ferrichrome outer membrane transport complex,iron ion transport // intracellular iron ion homeostasis // siderophore-dependent iron import into cell // siderophore transport // siderophore transmembrane transport,,DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating fhuACDB (BS0-10960) // DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating fhuACDB (BS0-10871) // DNA-binding transcriptional dual regulator Fur DNA-binding-site 3 bases upstream of fhuAp
zapA,cell division protein ZapA,cell septum assembly // septin ring assembly // division septum assembly // FtsZ-dependent cytokinesis // cell division,,
rsmJ,16S rRNA m<sup>2</sup>G1516 methyltransferase,methylation // rRNA processing // rRNA methylation // rRNA base methylation,,
efeU,inactive ferrous iron permease EfeU,iron ion transmembrane transport,,CpxR-phosphorylated DNA-binding-site 54.5 bases upstream of efeUp
narQ,sensor histidine kinase NarQ,phosphorelay signal transduction system // signal transduction // nitrate assimilation // cellular response to nitrate // cellular response to nitrite,"NarQ Two-Component Signal Transduction System, nitrate dependent",CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 0.5 bases upstream of narQp
rrsG,16S ribosomal RNA,translation,,Fis DNA-binding-site 112 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 71 bases upstream of rrsGp // NhaR-Na+ DNA-binding-site regulating rrsGp2 // NhaR-Na+ DNA-binding-site regulating rrsGp1 // Fis DNA-binding-site 71 bases upstream of rrsGp // Fis DNA-binding-site 91 bases upstream of rrsGp // Fis DNA-binding-site 112 bases upstream of rrsGp
fliD,flagellum,cell adhesion // bacterial-type flagellum-dependent cell motility,,FlhDC DNA-binding-site 55 bases upstream of fliDp2
