"","from","to","weight","type","edge_color","edge_type"
"344",7,179,0.123076923076923,"topic_document","blue",NA
"345",8,179,0.123076923076923,"topic_document","blue",NA
"346",9,179,0.129032258064516,"topic_document","blue",NA
"347",10,179,0.129032258064516,"topic_document","blue",NA
"348",13,179,0.138461538461538,"topic_document","blue",NA
"349",14,179,0.138461538461538,"topic_document","blue",NA
"350",17,179,0.1125,"topic_document","blue",NA
"351",18,179,0.1125,"topic_document","blue",NA
"352",19,179,0.112359550561798,"topic_document","blue",NA
"353",20,179,0.112359550561798,"topic_document","blue",NA
"354",21,179,0.22972972972973,"topic_document","blue",NA
"355",22,179,0.22972972972973,"topic_document","blue",NA
"356",25,179,0.2,"topic_document","blue",NA
"357",26,179,0.2,"topic_document","blue",NA
"358",31,179,0.123076923076923,"topic_document","blue",NA
"359",32,179,0.123076923076923,"topic_document","blue",NA
"360",37,179,0.123076923076923,"topic_document","blue",NA
"361",38,179,0.123076923076923,"topic_document","blue",NA
"362",39,179,0.169230769230769,"topic_document","blue",NA
"363",40,179,0.169230769230769,"topic_document","blue",NA
"364",43,179,0.161764705882353,"topic_document","blue",NA
"365",44,179,0.161764705882353,"topic_document","blue",NA
"366",49,179,0.12987012987013,"topic_document","blue",NA
"367",50,179,0.12987012987013,"topic_document","blue",NA
"368",55,179,0.112676056338028,"topic_document","blue",NA
"369",56,179,0.112676056338028,"topic_document","blue",NA
"370",69,179,0.112903225806452,"topic_document","blue",NA
"371",70,179,0.112903225806452,"topic_document","blue",NA
"372",77,179,0.116883116883117,"topic_document","blue",NA
"373",78,179,0.116883116883117,"topic_document","blue",NA
"374",83,179,0.112676056338028,"topic_document","blue",NA
"375",84,179,0.112676056338028,"topic_document","blue",NA
"376",85,179,0.123076923076923,"topic_document","blue",NA
"377",86,179,0.123076923076923,"topic_document","blue",NA
"378",87,179,0.107692307692308,"topic_document","blue",NA
"379",88,179,0.107692307692308,"topic_document","blue",NA
"380",91,179,0.163265306122449,"topic_document","blue",NA
"381",92,179,0.163265306122449,"topic_document","blue",NA
"382",99,179,0.123076923076923,"topic_document","blue",NA
"383",100,179,0.123076923076923,"topic_document","blue",NA
"384",103,179,0.126760563380282,"topic_document","blue",NA
"385",104,179,0.126760563380282,"topic_document","blue",NA
"386",111,179,0.197183098591549,"topic_document","blue",NA
"387",112,179,0.197183098591549,"topic_document","blue",NA
"388",117,179,0.155844155844156,"topic_document","blue",NA
"389",118,179,0.155844155844156,"topic_document","blue",NA
"390",121,179,0.225806451612903,"topic_document","blue",NA
"391",122,179,0.225806451612903,"topic_document","blue",NA
"392",137,179,0.107142857142857,"topic_document","blue",NA
"393",138,179,0.107142857142857,"topic_document","blue",NA
"394",145,179,0.129032258064516,"topic_document","blue",NA
"395",146,179,0.129032258064516,"topic_document","blue",NA
"396",153,179,0.142857142857143,"topic_document","blue",NA
"397",154,179,0.142857142857143,"topic_document","blue",NA
"398",157,179,0.153846153846154,"topic_document","blue",NA
"399",158,179,0.153846153846154,"topic_document","blue",NA
"400",167,179,0.161290322580645,"topic_document","blue",NA
"401",168,179,0.161290322580645,"topic_document","blue",NA
"402",171,179,0.135593220338983,"topic_document","blue",NA
"403",172,179,0.135593220338983,"topic_document","blue",NA
"404",11,180,0.150943396226415,"topic_document","blue",NA
"405",12,180,0.150943396226415,"topic_document","blue",NA
"406",23,180,0.135593220338983,"topic_document","blue",NA
"407",24,180,0.135593220338983,"topic_document","blue",NA
"408",25,180,0.125,"topic_document","blue",NA
"409",26,180,0.125,"topic_document","blue",NA
"410",31,180,0.107692307692308,"topic_document","blue",NA
"411",32,180,0.107692307692308,"topic_document","blue",NA
"412",33,180,0.116279069767442,"topic_document","blue",NA
"413",34,180,0.116279069767442,"topic_document","blue",NA
"414",35,180,0.186440677966102,"topic_document","blue",NA
"415",36,180,0.186440677966102,"topic_document","blue",NA
"416",37,180,0.2,"topic_document","blue",NA
"417",38,180,0.2,"topic_document","blue",NA
"418",41,180,0.243243243243243,"topic_document","blue",NA
"419",42,180,0.243243243243243,"topic_document","blue",NA
"420",43,180,0.132352941176471,"topic_document","blue",NA
"421",44,180,0.132352941176471,"topic_document","blue",NA
"422",47,180,0.152542372881356,"topic_document","blue",NA
"423",48,180,0.152542372881356,"topic_document","blue",NA
"424",49,180,0.142857142857143,"topic_document","blue",NA
"425",50,180,0.142857142857143,"topic_document","blue",NA
"426",51,180,0.103896103896104,"topic_document","blue",NA
"427",52,180,0.103896103896104,"topic_document","blue",NA
"428",71,180,0.28169014084507,"topic_document","blue",NA
"429",72,180,0.28169014084507,"topic_document","blue",NA
"430",77,180,0.12987012987013,"topic_document","blue",NA
"431",78,180,0.12987012987013,"topic_document","blue",NA
"432",81,180,0.108108108108108,"topic_document","blue",NA
"433",82,180,0.108108108108108,"topic_document","blue",NA
"434",105,180,0.129032258064516,"topic_document","blue",NA
"435",106,180,0.129032258064516,"topic_document","blue",NA
"436",107,180,0.272727272727273,"topic_document","blue",NA
"437",108,180,0.272727272727273,"topic_document","blue",NA
"438",109,180,0.274193548387097,"topic_document","blue",NA
"439",110,180,0.274193548387097,"topic_document","blue",NA
"440",111,180,0.112676056338028,"topic_document","blue",NA
"441",112,180,0.112676056338028,"topic_document","blue",NA
"442",133,180,0.11864406779661,"topic_document","blue",NA
"443",134,180,0.11864406779661,"topic_document","blue",NA
"444",157,180,0.123076923076923,"topic_document","blue",NA
"445",158,180,0.123076923076923,"topic_document","blue",NA
"446",163,180,0.142857142857143,"topic_document","blue",NA
"447",164,180,0.142857142857143,"topic_document","blue",NA
"448",171,180,0.169491525423729,"topic_document","blue",NA
"449",172,180,0.169491525423729,"topic_document","blue",NA
"450",1,181,0.142857142857143,"topic_document","blue",NA
"451",2,181,0.142857142857143,"topic_document","blue",NA
"452",3,181,0.3625,"topic_document","blue",NA
"453",4,181,0.3625,"topic_document","blue",NA
